Country,Clicks,Impressions,CTR,Position
United States,72,1115,6.46%,19.57
Thailand,43,85,50.59%,4.51
United Kingdom,19,275,6.91%,19.69
Canada,18,200,9%,18.93
India,14,153,9.15%,18.61
Germany,14,125,11.2%,12.38
France,11,83,13.25%,17.36
Pakistan,8,45,17.78%,22.49
Indonesia,7,38,18.42%,14.34
Spain,6,76,7.89%,21.21
Netherlands,6,67,8.96%,19.81
Australia,6,61,9.84%,18.05
Czechia,6,22,27.27%,19.36
Italy,5,62,8.06%,19.5
Belgium,4,34,11.76%,9.88
Portugal,4,28,14.29%,8.11
Brazil,3,71,4.23%,18.13
Finland,3,32,9.38%,17.66
Switzerland,3,28,10.71%,22
Serbia,3,10,30%,7.2
Qatar,3,9,33.33%,17.11
Latvia,3,7,42.86%,11.71
Vietnam,2,84,2.38%,25.52
Philippines,2,42,4.76%,18.02
Poland,2,40,5%,22.38
Malaysia,2,37,5.41%,18.97
Sweden,2,36,5.56%,17.86
Mexico,2,31,6.45%,26.35
Denmark,2,25,8%,23.8
Argentina,2,23,8.7%,33.57
Israel,2,19,10.53%,26.32
Japan,2,8,25%,12.25
Brunei,2,2,100%,2
Ukraine,1,31,3.23%,15.55
New Zealand,1,31,3.23%,42.29
Norway,1,26,3.85%,12.27
Egypt,1,24,4.17%,32.54
Austria,1,23,4.35%,20.96
Bangladesh,1,19,5.26%,32.95
Hong Kong,1,18,5.56%,14.17
Peru,1,9,11.11%,18.22
Algeria,1,9,11.11%,27
Myanmar (Burma),1,8,12.5%,9.75
Sri Lanka,1,8,12.5%,23.62
Malta,1,7,14.29%,8.71
Jordan,1,7,14.29%,16
Kenya,1,7,14.29%,26.43
Iraq,1,6,16.67%,30.5
Seychelles,1,5,20%,2.6
Slovakia,1,5,20%,10.2
Croatia,1,4,25%,2.5
Slovenia,1,2,50%,44.5
Belize,1,1,100%,1
El Salvador,1,1,100%,2
Puerto Rico,1,1,100%,4
Turkey,0,36,0%,20.58
Singapore,0,30,0%,44.87
Morocco,0,21,0%,21.29
Ireland,0,20,0%,35.05
Romania,0,19,0%,14.84
Colombia,0,19,0%,22.37
Greece,0,19,0%,28.68
Hungary,0,16,0%,11
Russia,0,16,0%,25.44
Saudi Arabia,0,13,0%,43.62
United Arab Emirates,0,12,0%,31.92
China,0,9,0%,10.11
South Africa,0,9,0%,12.33
Estonia,0,8,0%,9.38
Ecuador,0,8,0%,20.75
Venezuela,0,8,0%,29.5
Kazakhstan,0,8,0%,47.88
Tunisia,0,7,0%,10.14
Nigeria,0,7,0%,27
South Korea,0,6,0%,11.17
Panama,0,6,0%,11.33
Iran,0,6,0%,22.5
Bolivia,0,5,0%,4.2
Bulgaria,0,5,0%,15.6
Angola,0,5,0%,19.8
Albania,0,4,0%,8.5
Chile,0,4,0%,18.75
Ethiopia,0,4,0%,23
Bahamas,0,3,0%,3.33
Belarus,0,3,0%,9
Nepal,0,3,0%,11
Moldova,0,3,0%,19.33
Oman,0,3,0%,22
Guinea,0,3,0%,25
Afghanistan,0,2,0%,1.5
Mongolia,0,2,0%,3
Guatemala,0,2,0%,5.5
Taiwan,0,2,0%,6
Azerbaijan,0,2,0%,6.5
Honduras,0,2,0%,9.5
Congo - Kinshasa,0,2,0%,10
Lebanon,0,2,0%,10
Senegal,0,2,0%,10.5
Uganda,0,2,0%,13
Zimbabwe,0,2,0%,14.5
Tanzania,0,2,0%,22
Georgia,0,2,0%,24.5
Jamaica,0,1,0%,2
Cyprus,0,1,0%,3
Guam,0,1,0%,3
Iceland,0,1,0%,4
Laos,0,1,0%,4
Macedonia,0,1,0%,7
Costa Rica,0,1,0%,8
Dominican Republic,0,1,0%,8
Syria,0,1,0%,8
Togo,0,1,0%,8
Liberia,0,1,0%,9
Maldives,0,1,0%,9
Martinique,0,1,0%,9
New Caledonia,0,1,0%,9
French Polynesia,0,1,0%,9
Barbados,0,1,0%,10
Libya,0,1,0%,10
Lithuania,0,1,0%,10
Paraguay,0,1,0%,11
North Korea,0,1,0%,12
Burkina Faso,0,1,0%,19
Kyrgyzstan,0,1,0%,22
Palestine,0,1,0%,35
Guernsey,0,1,0%,44
Côte d’Ivoire,0,1,0%,45
Armenia,0,1,0%,77
Kuwait,0,1,0%,101
